Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,Color Club,You Rock!,Multi,Holo/Regular Chunky Glitter/Glitter/Flakie,https://www.nicehands.dk/shop/you-rock-color-1887p.html,,,
,Color Club,Youthquake,Pink,"Neon, Mini",https://colorclub.com/products/youthquake,,,
,Color Club,Top Coat,Clear,Top Coat,,,,
,Color Club,zzz *unmarked*,Green,Creme,,,,
,Color Club,zzz *unmarked*,Pink,Neon,,,,
,Color Club,zzz *unmarked*,Red,Creme,,,,
,Color Club,zzz *unmarked*,Silver,Metallic,,,,
,Colores de Carol,Blue Moon Milk,Multi,"Thermal, Multichrome Shimmer, Flakie",https://rainbow-connection.co.uk/collections/colores-de-carol/products/blue-moon-milk-ships-mid-oct,,,
,Colores de Carol,Unicorn Horn,Purple,"Jelly, Multichrome Flakie",https://www.coloresdecarol.com/product/unicorn-horn,,,
,Colors By Llarowe,My Own Private Paradise,Purple,Linear Holo,https://mariasnailpolishblog.blogspot.com/2014/11/colors-by-llarowe-cbl-my-own-private.html,,,
,CoverGirl Outlast,Bahama Mama - Glosstini,Red,"Shimmer, Mini",http://abeautymoment.blogspot.com/2014/08/covergirl-outlast-stay-brilliant.html,,,
,CoverGirl Outlast,Grapevine,Purple,"Duochrome, Shimmer",https://curbappealnails.blogspot.com/2014/07/comparison-swatches-essie-lace-is-on.html,,,
,CoverGirl Outlast,Vio-Last,Purple,Creme,http://www.alllacqueredup.com/2013/03/fave-covergirl-outlast-nail-polish-shades-spring-2013.html,,,
,CoverGirl Outlast,Wine Stain,Purple,Creme,,,,
,Crowstoes,Maia,Purple,"Duochrome, Glass Fleck",http://nazsnails.blogspot.com/2013/06/crowstoes-maia.html,,,
,Cupcake Polish,Keratoconus Awareness,Red,"Shifty, Shimmer, Iridescent",https://www.ohbiteit.com/2021/12/cupcake-polish.html,,,
,Cupcake Polish,Mr. Mint,Pink,"Neon, Jelly, Holo Glitter, Glitter",https://www.cupcakepolish.com/products/mr-mint,,,
,Cupcake Polish,Shimmering Sunburst,Orange,"Iridescent, Holo Glitter, Shimmer",https://www.cupcakepolish.com/products/shimmering-sunburst,,,
,Dance Legend,Termo Shine 179,Red,"Chunky Glitter, Thermal",https://curbappealnails.blogspot.com/2015/01/valentines-day-stamping-part-2-dance-legend-termo-shine-179.html,,,
,Dance Legend,Termo Shine 180,Black,"Chunky Glitter, Glitter, Thermal",https://realpolishfanatic.com/2016/01/23/dance-legend-termo-shine-180/,,,
,Deborah Lippmann,Happy Birthday,Multi,"Chunky Glitter, Glitter, Mini",http://www.nailescapades.com/2013/07/deborah-lippmann-happy-birthday.html,,,
,Del Sol,Now You See It,Multi,"UV, Creme",https://nevertoomuchglitter.wordpress.com/2016/06/30/del-sol-swatches-and-finally-on-instagram/,,,
,Del Sol,VIP,Multi,"Holo Glitter, Glitter, UV",,,,
,Emily de Molly,Hardware,Gold,"Chunky Glitter, Holo Glitter, Glitter",https://itsallaboutthepolish.blogspot.com/2013/11/hardware-by-emily-de-molly.html?m=1,,,
,Esmaltes da Kelly,Phoenix,Purple,Glitter,http://www.plumpandpolished.com/2013/09/EsmaltesDaKelly.html,,,
,Essie,Angora Cardi,Pink,Creme,https://www.essie.com/nail-polish/enamel/nudes/angora-cardi,,,
,Essie,Armed and Ready,Green,Shimmer,http://ommorphiabeautybar.com/essie-armed-and-ready-spring-2012-swatches-comparisons-review/,,,
,Essie,Beat of the Moment,Pink,"Glitter, Textured",https://www.thepolishedhippy.com/2019/01/essie-concrete-glitters-collection.html,,D,
,Essie,Butler Please,Blue,Creme,http://ommorphiabeautybar.com/tag/essie-butler-please-swatch/,,,
,Essie,Downtown Brown,Red,Creme,https://concreteandnailpolish.blogspot.com/2010/05/essie-downtown-brown-konad.html,,,
,Essie,Gallery Gal,Pink,"Neon, Mini",https://www.nailderella.com/2017/07/essie-off-wall-neon-2017.html,,,
,Essie,Hiking Heels,Red,Creme,https://imabeautygeek.com/2016/04/19/essie-summer-2016-collection-swatches-review-comparisons/,,,
,Essie,In The Lobby,Purple,Creme,http://thelacquerchronicles.blogspot.com/2015/09/essie-in-lobby.html,,,
,Essie,Mochacino,Gray,Shimmer,https://lacquerslackerliz.blogspot.com/2014/03/essie-mochacino.html,,,
,Essie,No More Film,Purple,"Creme, Mini",https://www.essie.com/nail-polish/enamel/blues/no-more-film,,,
,Essie,Off The Wall,Pink,"Neon, Mini",https://www.nailderella.com/2017/07/essie-off-wall-neon-2017.html,,,
